customer_id,address_id,branch_id,title,first_name,middle_name,last_name,ssn,phone,date_first_purchase,commute_distance_miles,profile_picture,non_resident_alien,pep_flag,citizenship_country_code,domicile_country_code,regd_ip_address,regd_device_type,gender,marital_status,race,tax_id,passport_number,driving_lic_number,voter_id,uuid,id_proof_1,id_proof_2,id_proof_3,monthly_deposit_count,monthly_deposit_amount,monthly_withdrawal_count,"monthly_withdrawal_amount",income_currency_code,monthly_income,monthly_atm_usage_count,occupation_type,employer_name,employer_industry_code,employer_address,employer_postal_code,net_worth,kyc_update_date,load_date,load_id
27849400,1004,245824,Mrs,Joelle,,Suarez,471-41-6792,"+1 (248)-418-1316",2016-09-29,47,"/app/framework/profile/27849400.jpg",Y,N,USA,USA,10.10.1.0.83,IPHONE,FEMALE,MARRIED,OTHER,011-11-121,PP-011-11-120,DL-011-11-120,VO-011-11-120,011-11-120,PASSPORT,,,8,8000,2,2000,CAN,80000,1,BUSINESS,"ACME INC",IT,"Ap #446-5323 Tristique Rd. Saint-Pierre NL-72456 Canada",360010,8000000,2017-03-01,2017-03-01,0
28914897,3199,231280,Ms,Lily,,Brown,018-37-3848,"+1 (694)-687-3498",2016-09-11,12,"/app/framework/profile/28914897.jpg",Y,Y,CAN,USA,10.10.1.0.82,IPAD,MALE,SINGLE,OTHER,011-11-121,PP-011-11-121,DL-011-11-120,VO-011-11-121,011-11-121,DRIVERS-LIC,,,7,7000,4,4000,USA,70000,5,SERVICE,"ACME INC",PHARMA,"2425 HIGHWAY 77 GADSDEN AL-35907 United States of America",158297,7000000,2017-03-01,2017-03-01,0
28984905,1523,416248,Mrs,Kelsey,,Harrell,809-41-3840,"+1 (424)-740-1039",2010-01-23,45,"/app/framework/profile/28984905.jpg",Y,Y,USA,USA,10.10.1.0.55,IPAD,MALE,MARRIED,OTHER,011-11-120,PP-011-11-120,DL-011-11-120,VO-011-11-120,011-11-121,DRIVERS-LIC,,,6,6000,1,1000,USA,60000,7,SERVICE,"GLOBAL CORP",PHARMA,"Ap #202-6083 Sem. Road Tongerlo NA-1732 Korea (Republic of)",57119,6000000,2017-03-01,2017-03-01,0
34567890,5631,123215,Ms,Serena,,Santana,270-47-1990,"+1 (424)-740-1939",2016-09-27,27,"/app/framework/profile/34567890.jpg",N,Y,CAN,CAN,10.10.1.0.69,IPHONE,MALE,SINGLE,OTHER,011-11-121,PP-011-11-121,DL-011-11-121,VO-011-11-120,011-11-120,DRIVERS-LIC,,,8,8000,9,9000,CAN,80000,9,SERVICE,"GLOBAL CORP",PHARMA,"Ap #541-3585 Aliquam Street Stalhille NA-9471 Korea (Republic of)",476351,8000000,2017-03-01,2017-03-01,0
36915908,2919,503978,Mr,John,,Davis,017-43-9584,"+1 (248)-418-2417",2017-01-01,8,"/app/framework/profile/36915908.jpg",Y,Y,USA,USA,10.10.1.0.11,IPAD,MALE,MARRIED,AMERICAN,011-11-120,PP-011-11-121,DL-011-11-121,VO-011-11-121,011-11-121,DRIVERS-LIC,,,4,4000,7,7000,USA,40000,1,BUSINESS,"ACME INC",PHARMA,"8100 W 78TH ST MINNEAPOLIS MN-55439 United States of America",630434,4000000,2017-03-01,2017-03-01,0
37856901,4759,398627,Mr,Raja,,Alvarado,173-99-4810,"+1 (224)-740-2040",2009-05-18,27,"/app/framework/profile/37856901.jpg",N,N,CAN,USA,10.10.1.0.07,IPHONE,MALE,MARRIED,AMERICAN,011-11-120,PP-011-11-121,DL-011-11-121,VO-011-11-121,011-11-121,DRIVERS-LIC,,,2,2000,2,2000,USA,20000,2,BUSINESS,"ACME INC",PHARMA,"1734 MILFORD STREET MANCHESTER NH-3109 United States of America",348142,2000000,2017-03-01,2017-03-01,0
38459011,1009,414076,Mr,Kirk,,Velasquez,388-47-1748,"+1 (307)-456-3959",2004-04-22,23,"/app/framework/profile/38459011.jpg",Y,N,USA,USA,10.10.1.0.07,IPHONE,FEMALE,MARRIED,AMERICAN,011-11-121,PP-011-11-121,DL-011-11-120,VO-011-11-121,011-11-121,DRIVERS-LIC,,,1,1000,1,1000,USA,10000,1,BUSINESS,"ACME INC",IT,"1751 GUNBARREL RD CHATTANOOGA TN-37421 United States of America",294722,1000000,2017-03-01,2017-03-01,0
38720189,1235,706159,Mr,Fletcher,,Camacho,278-02-7749,"+1 (423)-740-2040",2000-10-30,43,"/app/framework/profile/38720189.jpg",Y,N,CAN,USA,10.10.1.0.15,IPHONE,FEMALE,MARRIED,AMERICAN,011-11-120,PP-011-11-120,DL-011-11-120,VO-011-11-120,011-11-120,PASSPORT,,,8,8000,10,10000,CAN,80000,0,SERVICE,"ACME INC",PHARMA,"210 WESTSIDE DR DOTHAN AL-36303 United States of America",111892,8000000,2017-03-01,2017-03-01,0
40055134,3427,487807,Ms,May,,Conley,194-57-5999,"+1 (694)-555-2287",2005-09-23,23,"/app/framework/profile/40055134.jpg",Y,Y,USA,CAN,10.10.1.0.48,IPHONE,MALE,MARRIED,AMERICAN,011-11-120,PP-011-11-121,DL-011-11-121,VO-011-11-120,011-11-121,PASSPORT,,,5,5000,9,9000,USA,50000,5,SERVICE,"GLOBAL CORP",PHARMA,"943-867 Nullam St. Southaven FL-95961 United States of America",556712,5000000,2017-03-01,2017-03-01,0
46892471,7090,333791,Ms,Grace,,Anderson,015-73-1839,"+1 (424)-740-2040",2016-01-01,23,"/app/framework/profile/46892471.jpg",N,N,USA,USA,10.10.1.0.75,IPAD,FEMALE,SINGLE,AMERICAN,011-11-120,PP-011-11-120,DL-011-11-120,VO-011-11-120,011-11-120,DRIVERS-LIC,,,8,8000,9,9000,USA,80000,4,BUSINESS,"ACME INC",IT,"4145 CARMICHAEL RD MONTGOMERY AL-36106 United States of America",667505,8000000,2017-03-01,2017-03-01,0
47488870,5896,873946,Mrs,Noel,,House,323-23-1313,"+1 (308)-456-2958",2010-02-24,84,"/app/framework/profile/47488870.jpg",Y,N,CAN,USA,10.10.1.0.34,IPAD,FEMALE,MARRIED,AMERICAN,011-11-121,PP-011-11-121,DL-011-11-121,VO-011-11-121,011-11-121,PASSPORT,,,7,7000,6,6000,CAN,70000,5,BUSINESS,"GLOBAL CORP",PHARMA,"P.O. Box 285 5700 A Avenue White Rock YT-36985 Canada",486590,7000000,2017-03-01,2017-03-01,0
48690290,7629,159881,Mr,Oren,,Pollard,452-85-1870,"+1 (247)-418-2417",2017-03-03,4,"/app/framework/profile/48690290.jpg",N,Y,CAN,USA,10.10.1.0.18,IPAD,FEMALE,MARRIED,OTHER,011-11-120,PP-011-11-121,DL-011-11-121,VO-011-11-120,011-11-120,DRIVERS-LIC,,,1,1000,8,8000,CAN,10000,5,SERVICE,"GLOBAL CORP",IT,"5653 FRIST BLVD HERMITAGE TN-37076 United States of America",31888,1000000,2017-03-01,2017-03-01,0
50283741,9040,103418,Mr,Kelly,,Weeks,347-10-4949,"+1 (207)-306-3959",2009-07-20,32,"/app/framework/profile/50283741.jpg",N,Y,CAN,CAN,10.10.1.0.51,IPAD,MALE,SINGLE,AMERICAN,011-11-120,PP-011-11-120,DL-011-11-120,VO-011-11-120,011-11-121,DRIVERS-LIC,,,1,1000,4,4000,USA,10000,4,BUSINESS,"GLOBAL CORP",IT,"3948 BASSEL STREET HAMMOND LA-70401 United States of America",298243,1000000,2017-03-01,2017-03-01,0
50384712,4859,544289,Ms,Urielle,,Marshall,271-46-4989,"+1 (694)-687-3497",2010-04-26,59,"/app/framework/profile/50384712.jpg",Y,N,CAN,CAN,10.10.1.0.93,IPHONE,FEMALE,MARRIED,OTHER,011-11-121,PP-011-11-121,DL-011-11-121,VO-011-11-120,011-11-120,DRIVERS-LIC,,,1,1000,1,1000,USA,10000,10,SERVICE,"GLOBAL CORP",IT,"629 Faucibus Ave Fort Collins PA-10883 United States of America",222555,1000000,2017-03-01,2017-03-01,0
51083830,7999,975309,Mr,Steel,,Dale,100-38-2839,"+1 (692)-687-3498",2012-01-27,22,"/app/framework/profile/51083830.jpg",Y,Y,CAN,USA,10.10.1.0.43,IPHONE,MALE,SINGLE,OTHER,011-11-121,PP-011-11-120,DL-011-11-121,VO-011-11-120,011-11-120,PASSPORT,,,0,0,4,4000,CAN,0,9,BUSINESS,"GLOBAL CORP",PHARMA,"4416 137TH AVENUE EDMONTON AL-66563 Canada",728122,0,2017-03-01,2017-03-01,0
55523789,4483,208590,Mr,Noble,,Zamora,199-20-4892,"+1 (694)-686-3498",2009-08-21,27,"/app/framework/profile/55523789.jpg",Y,Y,USA,CAN,10.10.1.0.79,IPAD,FEMALE,SINGLE,OTHER,011-11-121,PP-011-11-121,DL-011-11-120,VO-011-11-121,011-11-121,PASSPORT,,,2,2000,4,4000,CAN,20000,9,SERVICE,"ACME INC",IT,"2804 BROADCAST DRIVE CHANTILLY VA-22021 United States of America",486165,2000000,2017-03-01,2017-03-01,0
55889832,4399,382815,Mrs,Yael,,Moss,163-58-3767,"+1 (407)-306-2748",2016-09-19,35,"/app/framework/profile/55889832.jpg",N,N,CAN,CAN,10.10.1.0.63,IPAD,FEMALE,MARRIED,OTHER,011-11-120,PP-011-11-121,DL-011-11-121,VO-011-11-120,011-11-120,PASSPORT,,,4,4000,8,8000,CAN,40000,0,BUSINESS,"ACME INC",IT,"P.O. Box 669 6932 Erat Road San Antonio MA-43584 United States of America",785744,4000000,2017-03-01,2017-03-01,0
56729890,8052,251623,Mr,Kevin,,Kinney,121-21-5483,"+1 (246)-418-2417",2013-09-09,58,"/app/framework/profile/56729890.jpg",Y,Y,USA,USA,10.10.1.0.4,IPAD,FEMALE,MARRIED,AMERICAN,011-11-121,PP-011-11-120,DL-011-11-121,VO-011-11-120,011-11-121,DRIVERS-LIC,,,5,5000,4,4000,CAN,50000,7,BUSINESS,"GLOBAL CORP",IT,"4371 NARROW LANE RD MONTGOMERY AL-36116 United States of America",378479,5000000,2017-03-01,2017-03-01,0
57771630,2390,706938,Ms,Gwendolyn,,Phelps,444-99-7777,"+1 (424)-740-2039",2010-06-28,58,"/app/framework/profile/57771630.jpg",Y,N,CAN,USA,10.10.1.0.17,IPAD,FEMALE,SINGLE,AMERICAN,011-11-121,PP-011-11-120,DL-011-11-120,VO-011-11-121,011-11-120,PASSPORT,,,1,1000,1,1000,USA,10000,3,BUSINESS,"ACME INC",IT,"8791 Nunc Street Limerl LU-7085 Korea (Republic of)",343204,1000000,2017-03-01,2017-03-01,0
61254898,8372,192096,Mr,Zachary,,Bates,482-59-1848,"+1 (308)-455-3959",2016-02-13,90,"/app/framework/profile/61254898.jpg",N,Y,USA,USA,10.10.1.0.52,IPHONE,MALE,MARRIED,OTHER,011-11-120,PP-011-11-120,DL-011-11-120,VO-011-11-121,011-11-121,PASSPORT,,,2,2000,1,1000,CAN,20000,6,SERVICE,"ACME INC",IT,"986 CHAPEL STREET HOUSTON TX-77036 United States of America",205850,2000000,2017-03-01,2017-03-01,0
64778920,1063,677321,Mr,Tiger,,Holman,287-45-2884,"+1 (309)-456-3959",2016-07-08,11,"/app/framework/profile/64778920.jpg",Y,Y,USA,USA,10.10.1.0.24,IPHONE,MALE,MARRIED,AMERICAN,011-11-120,PP-011-11-121,DL-011-11-121,VO-011-11-120,011-11-121,DRIVERS-LIC,,,1,1000,3,3000,CAN,10000,5,BUSINESS,"GLOBAL CORP",PHARMA,"7191 CAHABA VALLEY RD BIRMINGHAM AL-35242 United States of America",260314,1000000,2017-03-01,2017-03-01,0
67548412,6661,807799,Mr,Herman,,Bullock,231-47-5890,"+1 (407)-306-3958",2010-08-30,56,"/app/framework/profile/67548412.jpg",N,Y,USA,CAN,10.10.1.0.93,IPHONE,MALE,MARRIED,OTHER,011-11-120,PP-011-11-120,DL-011-11-120,VO-011-11-120,011-11-120,DRIVERS-LIC,,,4,4000,7,7000,CAN,40000,6,SERVICE,"ACME INC",PHARMA,"1164 ROGERS STREET CINCINNATI OH-45229 United States of America",873606,4000000,2017-03-01,2017-03-01,0
68845859,6788,870594,Mr,Jerome,,Manning,831-49-6480,"+1 (407)-305-3959",2016-12-12,8,"/app/framework/profile/68845859.jpg",N,N,USA,USA,10.10.1.0.56,IPAD,FEMALE,SINGLE,AMERICAN,011-11-121,PP-011-11-121,DL-011-11-121,VO-011-11-120,011-11-120,DRIVERS-LIC,,,7,7000,3,3000,CAN,70000,2,BUSINESS,"ACME INC",IT,"4055 BLANE STREET MANCHESTER MO-63011 United States of America",3119,7000000,2017-03-01,2017-03-01,0
68954463,8576,850459,Mr,Xavier,,Herman,104-28-4895,"+1 (448)-418-2417",2009-04-17,47,"/app/framework/profile/68954463.jpg",Y,Y,CAN,CAN,10.10.1.0.53,IPHONE,FEMALE,SINGLE,OTHER,011-11-121,PP-011-11-120,DL-011-11-120,VO-011-11-121,011-11-120,PASSPORT,,,5,5000,2,2000,USA,50000,7,BUSINESS,"ACME INC",PHARMA,"1648 DUFF AVENUE SOUTH BURLINGTON VT-5403 United States of America",295409,5000000,2017-03-01,2017-03-01,0
74236019,1045,795227,Mrs,Julie,,Cain,289-89-1679,"+1 (424)-740-1829",2016-09-17,65,"/app/framework/profile/74236019.jpg",N,N,USA,CAN,10.10.1.0.58,IPAD,MALE,MARRIED,AMERICAN,011-11-120,PP-011-11-121,DL-011-11-120,VO-011-11-120,011-11-120,PASSPORT,,,3,3000,8,8000,CAN,30000,4,BUSINESS,"ACME INC",PHARMA,"160-5648 Nostra Street Assiniboia NT-147896 Canada",653364,3000000,2017-03-01,2017-03-01,0
76450899,2299,810603,Mrs,Astra,,Parsons,280-58-1784,"+1 (248)-444-1206",2006-08-21,49,"/app/framework/profile/76450899.jpg",Y,Y,USA,CAN,10.10.1.0.51,IPAD,MALE,SINGLE,AMERICAN,011-11-120,PP-011-11-121,DL-011-11-121,VO-011-11-121,011-11-120,PASSPORT,,,2,2000,4,4000,CAN,20000,5,BUSINESS,"ACME INC",PHARMA,"P.O. Box 952 3871 Libero Avenue Baie D'Urf QC-75143 Canada",527420,2000000,2017-03-01,2017-03-01,0
77727205,4752,305914,Mrs,Dacey,,Randall,193-42-4998,"+1 (248)-418-1416",2016-05-30,26,"/app/framework/profile/77727205.jpg",Y,Y,CAN,USA,10.10.1.0.61,IPAD,MALE,SINGLE,OTHER,011-11-121,PP-011-11-121,DL-011-11-121,VO-011-11-121,011-11-121,DRIVERS-LIC,,,8,8000,0,0,USA,80000,3,BUSINESS,"ACME INC",IT,"P.O. Box 398 1055 Vestibulum Rd Tongerlo BU-2888 Korea (Republic of)",630086,8000000,2017-03-01,2017-03-01,0
78498430,1578,319105,Mr,Salvador,,Riggs,839-33-8549,"+1 (425)-740-2040",2000-01-01,34,"/app/framework/profile/78498430.jpg",N,Y,CAN,USA,10.10.1.0.34,IPHONE,MALE,MARRIED,OTHER,011-11-121,PP-011-11-120,DL-011-11-121,VO-011-11-121,011-11-120,DRIVERS-LIC,,,5,5000,6,6000,USA,50000,10,BUSINESS,"GLOBAL CORP",PHARMA,"1200 S FARMERVILLE ST RUSTON LA-71270 United States of America",756646,5000000,2017-03-01,2017-03-01,0
82384783,5890,348409,Mr,Zahir,,Moses,005-21-5883,"+1 (406)-306-3959",2014-05-25,6,"/app/framework/profile/82384783.jpg",Y,N,USA,CAN,10.10.1.0.67,IPAD,MALE,SINGLE,AMERICAN,011-11-120,PP-011-11-121,DL-011-11-120,VO-011-11-121,011-11-120,PASSPORT,,,4,4000,7,7000,CAN,40000,6,BUSINESS,"ACME INC",PHARMA,"5129 DIXIE HWY LOUISVILLE KY-40216 United States of America",898833,4000000,2017-03-01,2017-03-01,0
83212093,7884,619202,Ms,Brenda,,Wood,841-32-5883,"+1 (308)-456-3958",2010-07-29,39,"/app/framework/profile/83212093.jpg",Y,Y,CAN,USA,10.10.1.0.67,IPHONE,MALE,SINGLE,OTHER,011-11-121,PP-011-11-120,DL-011-11-121,VO-011-11-121,011-11-120,DRIVERS-LIC,,,3,3000,4,4000,CAN,30000,1,SERVICE,"ACME INC",PHARMA,"4743 HICKORY HEIGHTS DRIVE Havre De Grace MD-50003 United States of America",423380,3000000,2017-03-01,2017-03-01,0
84661530,4748,335196,Mr,Jonah,,Dudley,123-45-6789,"+1 (494)-687-3498",2009-03-16,91,"/app/framework/profile/84661530.jpg",Y,Y,CAN,USA,10.10.1.0.48,IPAD,MALE,MARRIED,AMERICAN,011-11-121,PP-011-11-121,DL-011-11-120,VO-011-11-120,011-11-120,PASSPORT,,,1,1000,5,5000,CAN,10000,5,SERVICE,"GLOBAL CORP",PHARMA,"2489 TEA BERRY LANE EAU CLAIRE WI-54701 United States of America",326995,1000000,2017-03-01,2017-03-01,0
87826531,4198,701626,Ms,Larissa,,Glover,470-65-3838,"+1 (694)-687-2397",2016-09-30,83,"/app/framework/profile/87826531.jpg",N,N,CAN,CAN,10.10.1.0.27,IPHONE,MALE,SINGLE,AMERICAN,011-11-121,PP-011-11-121,DL-011-11-121,VO-011-11-120,011-11-120,DRIVERS-LIC,,,9,9000,7,7000,CAN,90000,7,BUSINESS,"ACME INC",IT,"4305 Aliquet Rd. Great Falls NE-90695 United States of America",967962,9000000,2017-03-01,2017-03-01,0
89601725,9678,628360,Mr,Allen,,Newman,660-41-5889,"+1 (248)-417-2417",2010-09-01,17,"/app/framework/profile/89601725.jpg",Y,Y,USA,USA,10.10.1.0.42,IPAD,MALE,MARRIED,OTHER,011-11-121,PP-011-11-121,DL-011-11-121,VO-011-11-121,011-11-121,PASSPORT,,,9,9000,4,4000,CAN,90000,3,BUSINESS,"ACME INC",IT,"1940 MATTSON STREET PORTLAND OR-97204 United States of America",103485,9000000,2017-03-01,2017-03-01,0
91438470,9683,907253,Ms,MacKenzie,,Herring,899-36-2443,"+1 (248)-418-1206",2007-08-11,28,"/app/framework/profile/91438470.jpg",Y,Y,CAN,USA,10.10.1.0.67,IPAD,FEMALE,MARRIED,AMERICAN,011-11-121,PP-011-11-120,DL-011-11-121,VO-011-11-120,011-11-121,PASSPORT,,,6,6000,9,9000,CAN,60000,1,SERVICE,"ACME INC",PHARMA,"P.O. Box 463 332 Placerat Rd Weelde AN-8773 Korea (Republic of)",344562,6000000,2017-03-01,2017-03-01,0
92843627,4534,995609,Mr,Reuben,,Poole,039-43-6959,"+1 (408)-306-3959",2001-01-19,1,"/app/framework/profile/92843627.jpg",Y,Y,USA,CAN,10.10.1.0.08,IPAD,FEMALE,MARRIED,AMERICAN,011-11-120,PP-011-11-121,DL-011-11-121,VO-011-11-121,011-11-121,PASSPORT,,,7,7000,5,5000,CAN,70000,2,BUSINESS,"GLOBAL CORP",IT,"3181 SW SAM JACKSON PARK RD PORTLAND OR-97239 United States of America",905537,7000000,2017-03-01,2017-03-01,0
93884011,4192,644466,Mrs,Marcia,,Kirkland,347-56-4654,"+1 (308)-456-2738",2016-09-18,55,"/app/framework/profile/93884011.jpg",Y,N,CAN,USA,10.10.1.0.3,IPAD,FEMALE,SINGLE,OTHER,011-11-121,PP-011-11-120,DL-011-11-120,VO-011-11-121,011-11-121,DRIVERS-LIC,,,9,9000,8,8000,CAN,90000,2,SERVICE,"ACME INC",IT,"804 Sociis Av. Des Moines UT-76539 United States of America",196459,9000000,2017-03-01,2017-03-01,0
97650978,6738,752156,Mr,Mark,,Olsen,014-99-3456,"+1 (407)-306-3959",2015-12-09,20,"/app/framework/profile/97650978.jpg",Y,Y,USA,CAN,10.10.1.0.03,IPAD,FEMALE,MARRIED,AMERICAN,011-11-120,PP-011-11-120,DL-011-11-120,VO-011-11-121,011-11-120,PASSPORT,,,3,3000,1,1000,CAN,30000,4,BUSINESS,"ACME INC",PHARMA,"1530 3RD AVE S BIRMINGHAM AL-35294 United States of America",261263,3000000,2017-03-01,2017-03-01,0
98144860,1043,846093,Mrs,Audra,,Paul,471-45-8965,"+1 (694)-687-2287",2008-12-30,47,"/app/framework/profile/98144860.jpg",N,N,USA,CAN,10.10.1.0.46,IPHONE,MALE,MARRIED,OTHER,011-11-121,PP-011-11-121,DL-011-11-120,VO-011-11-121,011-11-121,DRIVERS-LIC,,,1,1000,4,4000,USA,10000,4,SERVICE,"ACME INC",PHARMA,"Ap #804-7059 Accumsan Ave Phoenix TX-86153 United States of America",841998,1000000,2017-03-01,2017-03-01,0
98327548,8298,760690,Mr,Xander,,Griffin,331-40-4878,"+1 (424)-739-2040",2015-07-30,16,"/app/framework/profile/98327548.jpg",N,Y,USA,CAN,10.10.1.0.15,IPHONE,MALE,MARRIED,AMERICAN,011-11-120,PP-011-11-121,DL-011-11-120,VO-011-11-121,011-11-120,DRIVERS-LIC,,,8,8000,4,4000,USA,80000,5,BUSINESS,"ACME INC",PHARMA,"78 PRIMROSE LANE NEW GLARUS WI-53574 United States of America",799074,8000000,2017-03-01,2017-03-01,0
98860230,2367,705187,Ms,Mariko,,Chen,368-85-2930,"+1 (308)-222-2738",2008-02-14,3,"/app/framework/profile/98860230.jpg",N,Y,CAN,USA,10.10.1.0.25,IPAD,FEMALE,SINGLE,AMERICAN,011-11-120,PP-011-11-121,DL-011-11-121,VO-011-11-120,011-11-120,DRIVERS-LIC,,,3,3000,7,7000,USA,30000,9,BUSINESS,"GLOBAL CORP",IT,"P.O. Box 630 4618 Justo Road Fort Worth NE-46777 United States of America",22048,3000000,2017-03-01,2017-03-01,0
